Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Sheeshmahal,2024,14-Feb-24,Drama,Sasi Camp,"Rahul Ramakrishna, Sai, Arnold",Kids from across the state gather in the capital city for a festival to see films at various venues. They tour cinemas and theaters while teachers supervise. The festival inspires ideas about the slice of life depicted.,Telugu,India,7.4
Raajadhani Files,2024,15-Feb-24,Drama,Bhanu,"Amrutha Chowdary, Vinod Kumar, Veena Panchaparvala",The farmers who had voluntarily pooled their farm lands for building the capital city Amaravati and were betrayed by the government which came to power later.,Telugu,India,7.5
I Hate Love,2024,16-Feb-24,Drama,VI.Venkatesh,"Priyanka Chollangi, Nagi Jabardest, Kittaiah",Ramababu hates love for a certain reason but dramatically he loves Sita. Sita's father knows that his daughter's life will be fruitful if marries her to Rambabu but he refuses their union.,Telugu,India,
Ooru Peru Bhairavakona,2024,16-Feb-24,"Fantasy, Thriller",Vi Anand,"Rajsekhar Aningi, Phani Prakash Arepaka, Fm Babai","A man goes in search of some urgently required answers to the world of Bhairavakona, from which there's seemingly no way out.",Telugu,India,5.6
Ground,2024,23-Feb-24,Drama,Suraj,"Tejaswini M, Harinath Raj Kuntamukkula, Nagaraju Badhavath","Group of friends go to a playground around the corner, to play Cricket, on a typical Sunday. However, that special day has unexpected events in store for them.",Telugu,India,
Mukhya Gamanika,2024,23-Feb-24,"Crime, Thriller",Venu Muralidhar Vadnala,"Viran Muttam Setty, Aaryan Krishna, Lavannya Sahukara","A young constable stumbles into a deadly maze. The tragic murder of his father, coinciding with the disappearance of a husband, ignites a chase for the truth, forcing him to confront hidden dangers and protect what's dear.",Telugu,India,9
Siddharth Roy,2024,23-Feb-24,"Drama, Romance",V Yeshasvi,"Gaurav Mahaur, Kalyani Natarajan, Tanvi Negi","Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil.",Telugu,India,7.4
Sundaram Master,2024,23-Feb-24,"Comedy, Drama",Kalyan Santhosh,"Chaitu Babu, Bhadram, Brahmanandam",An English teacher finds a remote Indian village where residents already speak English well.,Telugu,India,6.1
Bhoothaddam Bhaskar Narayana,2024,01-Mar-24,"Drama, Mystery, Thriller","Purushotham Raaj, Shravan Kumar Tadka","Shiva Kandukuri, Rashi Singh, Varshini Soundararajan","In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect.",Telugu,India,6.4
Chaari 111,2024,01-Mar-24,Action,T.G. Keerthi Kumar,"Kotte Alekhya, Apurva, Mani Bhamma","Following a bombing in Hyderabad, the chief minister directs classified intelligence unit Rudra Netra to track down the attackers. Brahmachaari, an assured but quirky officer, heads the mission.",Telugu,India,4.9
Inti No. 13,2024,01-Mar-24,Horror,Panna Rayal,"Anandraj, Naveed Babu, Tanikella Bharani",,Telugu,India,
Operation Valentine,2024,01-Mar-24,"Action, Drama, Thriller",Shakti Pratap Singh,"Varun Tej, Manushi Chhillar, Paresh Pahuja","Showcasing the indomitable spirits of the Indian Air Force heroes on the frontlines and the challenges they face during one of the biggest, fiercest aerial attacks that India has ever seen.","Hindi, Telugu",India,5.3
Babu (No.1 Bullshit Guy),2024,08-Mar-24,Comedy,Laxmman Varma MLR,"Badram, Muralidhar Goud, Kushita Kallapu","The lives of Kartheek and Sombabu, who face adversity and redemption.","Telugu, Kannada, Tamil",India,
Bhimaa,2024,08-Mar-24,Action,Harsha,"Priya Bhavani Shankar, Malvika Sharma, Nassar",Mysterious incidents at a historical temple bring a detective to a small town to investigate. He seeks the truth behind the strange happenings.,"Telugu, Tamil, Malayalam",India,5.3
Bullet Day,2024,09-Jul-24,Drama,EJ Salcedo,"Diego Loyzaga, Rhen Escaño, Joel Torre",A former hit man trying to live a normal life when someone from his past sees him and puts his family and friends in danger. Can he sacrifice his new life to fight for the ones he loves?,"Tagalog, Filipino",Philippines,
Gaami,2024,08-Mar-24,"Adventure, Drama, Fantasy","Vidyadhar Kagita, Pratyush Vatyam","Vishwak Sen, Abhinaya, Rajiv Kumar Aneja","Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?","Tamil, Kannada, Telugu",India,6.5
Record break,2024,08-Mar-24,Drama,Chadalavada Srinivasa Rao,"Chalapathi Rao, Raghda Iftekhar, Satya Krishnan","Rich Ramaiah's daughter Bharti is innocent, a janitor named Ranga Rao joins their work faithfully and kills Ramaiah and gets close to Bharti and marries her for property and makes her pregnant, then to save the unborn child if he ...",Telugu,India,
We Love Bad Boys,2024,08-Mar-24,Comedy,Raju Rajendra Prasad,"Ajay Kumar Kathurvar, Vamsi Krishna, Aditya Shashank Neeti","Three friends embark on a quest to find girlfriends but planning the perfect date takes an unexpected turn, revealing that love's path is filled with surprises.",Telugu,India,
Raju Gari Ammayi Naidu Gari Abbayi,2024,09-Mar-24,"Action, Romance, Thriller",Satya Raj,"Ravi Teja Nunna, Neha Jurel, Yogi Khatri","Raju Garu and Naidu Garu are big wigs of the village. Their children Anu and Karna are in love. However, things take a tragic turn when Anu's body is found in the Godavari river.",Telugu,India,
Lambasingi,2024,15-Mar-24,Drama,Naveen Gandhi,"Kittayya, Bharath Raj, Vamsi Raj","A heartfelt tale set in the eponymous village located in the agency area. It revolves around a non local boy who falls in love with a local girl. However, their love faces numerous challenges due to various circumstances.",Telugu,India,
Maya,2024,14-Apr-24,Horror,Animesh Aich,"Golam Farida Chhonda, Dibya Joyti, Shommo Jyoti",,Bengali,Bangladesh,
Ravikula Raghurama,2024,15-Mar-24,,Chandrashekar Kanuri,"Deepshika, Gowtham Varma, Jabardasth Nagireddy","Gowtham and Nisha meet accidently. Nisha deceives Gowtham, but her grandmother's loss awakens her to love's true value.",Telugu,India,
Razakar: The Silent Genocide of Hyderabad,2024,26-Apr-24,"Action, Drama, History",Yaata Satyanarayana,"Raj Arjun, Bobby Simha, Anasuya Bharadwaj",Revolves around the Hyderabad Liberation Movement of 1948. Capture the struggles of Telangana and its people in the early days of Independence to reclaim their religion and identity in the face of military and political oppression.,"Telugu, Kannada, Malayalam, Tamil, Hindi, Marathi",India,8.1
Sharathulu Varthisthai,2024,15-Mar-24,Drama,Kumara Swamy,"Rj Avinash, Mallesh Balast, Palamuru Devaraj","Chiranjeevi, a small government employee from a lower middle class family fights back with the system when the system takes them for granted and fails them.",Telugu,India,6.5
Tantra,2024,15-Mar-24,Horror,Srinivas Gopisetti,"Ananya Nagalla, Dhanush Raghumudri, Temper Vamsi","A timid girl named Rekha possesses an extraordinary power to perceive spirits. When she encounters a malevolent tantric, she's drawn into unraveling dark occult mysteries, putting her life at risk.",Telugu,India,5.5
Vey Dharuvey,2024,15-Mar-24,"Action, Comedy",D. Naveen Reddy,"Sairam Shankar, Sunil, Chammak Chandra",,Telugu,India,
Haddhu Ledhu Raa,2024,21-Mar-24,Family,Raavi Rajashekkar,"Varsha Viswanath, Ashish Gandhi, Dayanand Reddy",,Telugu,India,
Ananya,2024,22-Mar-24,"Horror, Thriller",Prasad Raju Bommidi,"Thoshi Alahari, Satyanarayan Buddala, Pragya Gutom","The movie revolves around the girl called Ananya, who comes from great orthodox family, Even though she comes from a great family. The Antagonist of the film is also from her family where he abuses Ananya from the childhood.",Telugu,India,
